Source,Keyword,2020-11-02 PM,2020-11-03 AM,2020-11-03 PM,2020-11-04 AM,2020-11-05 AM,2020-11-05 PM,2020-11-06 AM,2020-11-06 PM,2020-11-07 AM,2020-11-08 AM,2020-11-08 PM
NYT,Trump,11,9,12,24,26,19,20,25,25,26,22
NYT,Biden,2,5,12,24,26,18,22,21,23,35,32
NYT,Election,21,35,16,48,43,41,30,32,28,20,25
NYT,Coronavirus,12,12,0,7,0,9,9,5,18,6,15
NYT,Election Integrity,0,0,0,2,2,6,5,7,7,1,2
NYT,Economy,0,2,0,2,0,2,5,0,0,0,1
NYT,Election Violence,1,0,0,0,3,1,1,1,1,3,4
NYT,Azerbaijan/Armenia,0,0,0,0,0,1,0,0,0,1,3
NYT,Michigan,0,2,0,3,4,1,1,2,1,0,0
NYT,Wisconsin,0,0,1,5,3,1,1,1,1,0,0
NYT,Pennsylvania,1,1,1,2,2,6,13,7,3,3,1
NYT,Arizona,0,3,1,2,10,3,2,5,3,0,0
NYT,Nevada,0,0,0,3,3,2,0,5,0,0,0
NYT,Florida,0,1,1,0,1,2,1,1,1,0,0
NYT,Climate Change,0,0,0,0,0,0,0,0,0,0,0
WaPo,Trump,14,14,14,11,20,20,25,19,10,24,22
WaPo,Biden,7,5,13,7,13,6,8,13,9,35,26
WaPo,Election,40,37,68,56,35,40,42,29,27,20,15
WaPo,Coronavirus,49,59,50,47,51,51,49,42,49,42,43
WaPo,Election Integrity,2,4,5,3,4,9,10,7,6,4,3
WaPo,Economy,3,3,2,3,5,2,4,6,3,5,3
WaPo,Election Violence,5,4,3,1,5,3,4,5,3,2,1
WaPo,Azerbaijan/Armenia,1,1,2,3,8,3,3,4,4,4,4
WaPo,Michigan,1,2,1,1,4,1,0,2,1,0,0
WaPo,Wisconsin,0,0,1,1,4,1,0,1,1,0,0
WaPo,Pennsylvania,3,2,2,2,2,1,2,6,1,2,2
WaPo,Arizona,1,1,1,2,5,1,1,1,1,2,1
WaPo,Nevada,1,0,1,1,1,0,0,1,1,1,1
WaPo,Florida,1,1,3,2,2,3,1,2,1,3,3
WaPo,Climate Change,0,0,0,0,0,0,0,0,0,0,0
CNBC,Trump,18,14,11,15,16,12,11,13,5,18,16
CNBC,Biden,13,14,21,14,18,12,15,23,18,62,67
CNBC,Election,69,75,77,67,65,41,40,40,33,37,39
CNBC,Coronavirus,53,38,34,33,37,43,38,41,40,44,38
CNBC,Election Integrity,8,3,2,2,6,2,3,10,5,2,2
CNBC,Economy,48,52,65,56,58,60,74,55,62,52,53
CNBC,Election Violence,1,0,0,2,0,0,0,0,0,0,0
CNBC,Azerbaijan/Armenia,0,0,0,0,0,0,0,0,0,0,0
CNBC,Michigan,0,0,0,6,4,1,0,3,2,0,0
CNBC,Wisconsin,0,0,0,1,2,0,0,3,2,0,0
CNBC,Pennsylvania,1,1,5,6,9,4,4,3,1,1,1
CNBC,Arizona,0,0,0,0,4,1,1,0,0,0,0
CNBC,Nevada,0,0,0,1,2,2,1,0,0,1,1
CNBC,Florida,0,2,5,3,1,0,0,1,1,0,0
CNBC,Climate Change,0,0,0,0,0,0,0,0,0,0,0
Al-Jazeera,Trump,11,9,10,5,7,12,13,10,6,6,4
Al-Jazeera,Biden,8,5,6,3,4,4,3,7,5,16,26
Al-Jazeera,Election,26,37,35,26,13,10,8,9,8,6,8
Al-Jazeera,Coronavirus,0,8,7,0,4,5,1,1,0,0,0
Al-Jazeera,Election Integrity,1,1,0,2,2,2,3,3,4,0,0
Al-Jazeera,Economy,1,1,1,1,3,2,5,2,2,1,2
Al-Jazeera,Election Violence,7,5,0,2,2,5,3,2,5,3,0
Al-Jazeera,Azerbaijan/Armenia,1,1,2,1,1,1,1,1,1,1,1
Al-Jazeera,Michigan,0,0,0,0,0,0,0,0,0,0,0
Al-Jazeera,Wisconsin,2,0,0,0,1,1,0,0,0,0,0
Al-Jazeera,Pennsylvania,1,0,0,0,0,0,2,2,0,0,0
Al-Jazeera,Arizona,2,0,0,1,1,1,1,0,0,0,0
Al-Jazeera,Nevada,0,0,0,0,0,0,0,0,0,0,0
Al-Jazeera,Florida,1,0,0,0,0,0,0,0,0,0,0
Al-Jazeera,Climate Change,0,0,0,0,0,0,0,0,0,0,0
BBC,Trump,12,8,14,6,7,8,12,9,5,12,12
BBC,Biden,9,7,7,5,5,6,4,4,6,23,18
BBC,Election,22,32,35,30,22,33,29,24,25,25,28
BBC,Coronavirus,34,35,32,30,33,31,40,39,32,28,29
BBC,Election Integrity,4,2,2,3,4,3,2,2,2,1,1
BBC,Economy,8,8,14,9,8,8,8,8,8,9,8
BBC,Election Violence,2,2,1,1,2,1,5,6,3,1,3
BBC,Azerbaijan/Armenia,2,3,2,4,2,2,2,2,2,2,2
BBC,Michigan,0,0,0,0,0,0,0,0,0,0,0
BBC,Wisconsin,0,0,0,0,0,0,0,0,0,0,0
BBC,Pennsylvania,0,0,0,0,0,0,2,3,1,0,0
BBC,Arizona,0,0,0,0,0,0,1,1,1,0,0
BBC,Nevada,0,0,0,0,0,0,1,1,1,0,0
BBC,Florida,0,0,3,0,0,0,0,0,0,0,0
BBC,Climate Change,0,0,0,0,0,0,0,0,0,0,0
China Daily,Trump,1,0,2,2,1,1,1,1,1,1,1
China Daily,Biden,1,0,2,2,2,2,0,0,0,2,2
China Daily,Election,2,3,8,7,3,3,6,6,6,5,5
China Daily,Coronavirus,18,20,15,15,8,8,15,15,17,18,18
China Daily,Election Integrity,0,0,0,0,0,0,0,0,0,0,0
China Daily,Economy,6,8,11,9,4,4,3,3,3,3,3
China Daily,Election Violence,2,2,4,4,5,5,5,5,7,7,7
China Daily,Azerbaijan/Armenia,1,0,0,0,0,0,1,1,1,0,0
China Daily,Michigan,0,0,0,0,0,0,0,0,0,0,0
China Daily,Wisconsin,0,0,0,0,0,0,0,0,0,0,0
China Daily,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0
China Daily,Arizona,0,0,0,0,0,0,0,0,0,0,0
China Daily,Nevada,0,0,0,0,0,0,0,0,0,0,0
China Daily,Florida,0,0,0,0,0,0,0,0,0,0,0
China Daily,Climate Change,0,0,0,0,0,0,0,0,0,0,0
Fox,Trump,56,61,38,44,37,39,30,34,27,47,38
Fox,Biden,42,30,25,23,17,17,15,18,33,57,59
Fox,Election,77,110,110,96,102,95,79,80,70,66,60
Fox,Coronavirus,40,40,49,38,79,48,41,49,57,41,51
Fox,Election Integrity,4,6,5,11,15,14,16,16,14,15,16
Fox,Economy,20,17,17,23,18,18,25,17,22,15,14
Fox,Election Violence,4,15,6,10,10,5,3,5,5,4,2
Fox,Azerbaijan/Armenia,1,1,1,3,3,1,1,1,1,1,1
Fox,Michigan,2,2,0,2,1,1,0,3,2,0,0
Fox,Wisconsin,1,0,0,4,1,3,3,2,0,0,0
Fox,Pennsylvania,9,3,4,5,6,6,5,7,11,6,6
Fox,Arizona,0,3,1,2,4,1,1,2,1,0,3
Fox,Nevada,0,0,2,0,3,7,1,3,1,0,0
Fox,Florida,5,5,10,9,8,3,4,6,9,5,6
Fox,Climate Change,0,0,0,0,0,0,0,0,0,0,0
Mehr,Trump,2,1,0,8,4,4,6,6,7,18,18
Mehr,Biden,1,0,0,2,0,0,1,1,4,6,8
Mehr,Election,7,7,7,15,6,6,6,6,8,9,11
Mehr,Coronavirus,14,13,13,15,10,11,14,13,18,12,8
Mehr,Election Integrity,0,0,0,2,1,1,3,3,4,1,0
Mehr,Economy,2,1,1,1,1,5,6,4,2,2,2
Mehr,Election Violence,7,7,7,14,7,6,6,5,6,5,6
Mehr,Azerbaijan/Armenia,0,0,0,0,0,0,0,0,0,0,0
Mehr,Michigan,0,0,0,0,0,1,0,0,0,0,0
Mehr,Wisconsin,0,0,0,0,0,0,0,0,0,0,0
Mehr,Pennsylvania,0,0,0,0,0,0,0,0,0,0,0
Mehr,Arizona,0,0,0,0,0,0,0,0,0,0,0
Mehr,Nevada,0,0,0,0,0,0,0,0,0,0,0
Mehr,Florida,0,0,0,0,0,0,0,0,0,0,0
Mehr,Climate Change,0,0,0,0,0,0,0,0,0,0,0
The Atlantic,Trump,23,18,19,16,9,9,12,15,12,17,21
The Atlantic,Biden,2,1,3,3,0,0,5,4,4,19,15
The Atlantic,Election,15,15,32,23,12,15,21,20,22,8,4
The Atlantic,Coronavirus,16,15,13,11,8,7,7,7,6,5,5
The Atlantic,Election Integrity,0,1,0,0,0,0,0,3,2,0,0
The Atlantic,Economy,4,3,3,3,1,1,1,1,1,1,1
The Atlantic,Election Violence,6,4,2,1,0,0,0,0,0,0,0
The Atlantic,Azerbaijan/Armenia,0,0,0,0,0,0,0,0,0,0,0
The Atlantic,Michigan,0,0,0,0,0,0,0,0,0,0,0
The Atlantic,Wisconsin,0,0,0,0,0,0,0,0,0,0,0
The Atlantic,Pennsylvania,0,0,5,4,0,0,0,0,0,0,0
The Atlantic,Arizona,0,0,0,0,0,0,0,0,0,0,0
The Atlantic,Nevada,0,0,0,0,0,0,0,0,0,0,0
The Atlantic,Florida,0,0,5,4,0,0,0,0,0,0,0
The Atlantic,Climate Change,0,0,0,0,0,0,0,0,0,0,0
Buzzfeed,Trump,2,2,10,15,7,7,8,3,2,16,13
Buzzfeed,Biden,1,6,1,0,3,5,5,8,4,35,14
Buzzfeed,Election,16,20,38,37,26,22,20,13,13,8,9
Buzzfeed,Coronavirus,6,9,5,5,5,1,1,1,4,1,1
Buzzfeed,Election Integrity,1,1,1,1,3,1,1,0,0,0,0
Buzzfeed,Economy,1,1,2,2,1,1,1,1,1,2,4
Buzzfeed,Election Violence,2,2,0,0,0,2,2,0,1,0,0
